Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,2.886,3.016,2.687,2.749,000,2.749
2014-11-03,3.053,3.133,2.905,2.91,000,2.91
2014-10-01,3.184,3.276,2.677,3.06,000,3.06
2014-09-02,3.139,3.391,3.136,3.212,000,3.212
2014-08-01,3.352,3.37,3.059,3.08,000,3.08
2014-07-01,3.378,3.516,3.217,3.311,000,3.311
2014-06-02,3.348,3.499,3.333,3.338,000,3.338
2014-05-01,3.474,3.503,3.267,3.314,000,3.314
2014-04-01,3.585,3.652,3.418,3.458,000,3.458
2014-03-03,3.557,3.751,3.494,3.561,000,3.561
2014-02-03,3.626,3.744,3.539,3.592,000,3.592
2014-01-02,3.963,3.967,3.594,3.622,000,3.622
2013-12-02,3.843,3.976,3.81,3.964,000,3.964
2013-11-01,3.665,3.938,3.648,3.808,000,3.808
2013-10-01,3.719,3.804,3.565,3.631,000,3.631
2013-09-03,3.754,3.91,3.648,3.686,000,3.686
2013-08-01,3.669,3.93,3.602,3.676,000,3.676
2013-07-01,3.523,3.792,3.458,3.646,000,3.646
2013-06-03,3.309,3.63,3.169,3.498,000,3.498
2013-05-01,2.865,3.356,2.81,3.308,000,3.308
2013-04-01,3.136,3.14,2.839,2.884,000,2.884
2013-03-01,3.051,3.284,3.045,3.104,000,3.104
2013-02-01,3.195,3.244,3.034,3.094,000,3.094
2013-01-02,3.043,3.22,2.992,3.17,000,3.17
2012-12-03,2.833,3.036,2.745,2.952,000,2.952
2012-11-01,2.88,2.963,2.696,2.794,000,2.794
2012-10-01,2.81,3.007,2.80,2.851,000,2.851
2012-09-04,2.68,3.277,2.663,2.834,000,2.834
2012-08-01,2.575,2.984,2.508,2.684,000,2.684
2012-07-02,2.742,2.749,2.452,2.577,000,2.577
2012-06-01,2.599,2.829,2.51,2.763,000,2.763
2012-05-01,3.116,3.168,2.585,2.672,000,2.672
2012-04-02,3.33,3.411,3.058,3.109,000,3.109
2012-03-01,3.151,3.49,3.058,3.345,000,3.345
2012-02-01,2.948,3.239,2.941,3.086,000,3.086
2012-01-03,2.977,3.179,2.88,2.934,000,2.934
2011-12-01,3.139,3.159,2.786,2.889,000,2.889
2011-11-01,3.039,3.188,2.823,3.062,000,3.062
2011-10-03,2.851,3.452,2.694,3.199,000,3.199
2011-09-01,3.576,3.655,2.752,2.921,000,2.921
2011-08-01,4.141,4.168,3.341,3.592,000,3.592
2011-07-01,4.362,4.416,4.132,4.132,000,4.132
2011-06-01,4.193,4.449,4.137,4.382,000,4.382
2011-05-02,4.418,4.418,4.207,4.216,000,4.216
2011-04-01,4.506,4.671,4.389,4.406,000,4.406
2011-03-01,4.52,4.672,4.32,4.508,000,4.508
2011-02-01,4.611,4.789,4.484,4.49,000,4.49
2011-01-03,4.399,4.644,4.351,4.571,000,4.571
2010-12-01,4.173,4.624,4.167,4.362,000,4.362
2010-11-01,3.964,4.402,3.857,4.102,000,4.102
2010-10-01,3.72,4.075,3.637,4.00,000,4.00
2010-09-01,3.542,3.958,3.542,3.687,000,3.687
2010-08-02,4.022,4.077,3.462,3.533,000,3.533
2010-07-01,3.878,4.138,3.826,3.977,000,3.977
2010-06-01,4.182,4.318,3.908,3.909,000,3.909
2010-05-03,4.549,4.566,3.984,4.214,000,4.214
2010-04-01,4.744,4.858,4.527,4.527,000,4.527
2010-03-01,4.559,4.803,4.537,4.715,000,4.715
2010-02-01,4.518,4.774,4.486,4.529,000,4.529
2010-01-04,4.679,4.761,4.488,4.51,000,4.51
2009-12-01,4.231,4.714,4.22,4.641,000,4.641
2009-11-02,4.251,4.481,4.19,4.194,000,4.194
2009-10-01,4.031,4.389,3.888,4.236,000,4.236
